Timestamp,Gender ,Age,Are you currently....?,Annual income,How often do you visit Starbucks? ,How do you usually enjoy Starbucks? ,How much time do you normally spend during your visit?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,The nearest Starbucks's outlet to you is...?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends? ,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
2022/08/16 3:48:24 pm EET,Female,20 - 29,Student,"Less than 25,000PLN",Rarely,Dine in,30 minutes - 1 hour,Yes,Coffee,Within 1 km,Less than 20 PLN,4,3,5,5,4,4,3,Social Media;Starbucks Website/Apps,Yes
2022/08/16 3:52:03 pm EET,Female,20 - 29,Student,"Less than 25,000PLN",Rarely,Dine in,Below 30 minutes,Yes,Pastries;Coffee,Within 1 km,Less than 20 PLN,4,3,4,4,4,5,2,Social Media;In Store displays,Yes
2022/08/16 3:53:29 pm EET,Male,20 - 29,Employed,"Less than 25,000PLN",Monthly,Dine in,30 minutes - 1 hour,Yes,Coffee,More than 3 km,Less than 20 PLN,4,3,4,4,4,4,3,In Store displays;Billboards,Yes
2022/08/16 3:55:58 pm EET,Male,20 - 29,Employed,"50,000PLN - 100,000PLN",Rarely,Dine in,30 minutes - 1 hour,Yes,Cold drinks;Coffee,More than 3 km,Less than 20 PLN,4,2,3,3,4,3,3,Social Media;Starbucks Website/Apps;Through friends and word of mouth;Emails,Yes
2022/08/16 3:57:32 pm EET,Male,20 - 29,Employed,"50,000PLN - 100,000PLN",Monthly,Drive-thru,30 minutes - 1 hour,Yes,Coffee,Within 1 km,20 PLN - 40 PLN,4,3,3,4,3,3,3,Social Media,Yes
2022/08/16 4:00:13 pm EET,Female,20 - 29,Employed,"Less than 25,000PLN",Rarely,Take away,Below 30 minutes,Yes,Coffee,More than 3 km,Less than 20 PLN,5,3,5,5,4,4,1,Social Media;In Store displays,Yes
2022/08/16 4:01:33 pm EET,Male,20 - 29,Employed,"50,000PLN - 100,000PLN",Monthly,Take away,Below 30 minutes,Yes,Cold drinks,More than 3 km,20 PLN - 40 PLN,3,1,3,3,1,3,2,Social Media;Through friends and word of mouth,Yes
2022/08/16 4:03:03 pm EET,Female,20 - 29,Employed,"25,000PLN - 50,000PLN",Rarely,Dine in,30 minutes - 1 hour,Yes,Cold drinks,1 km - 3 km,Less than 20 PLN,3,3,5,4,3,3,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
2022/08/16 4:04:13 pm EET,Female,20 - 29,Self-employed,"Less than 25,000PLN",Rarely,Take away,Below 30 minutes,No,Cold drinks,More than 3 km,Less than 20 PLN,3,3,1,4,3,4,4,Social Media;Through friends and word of mouth,Yes
2022/08/16 4:05:28 pm EET,Female,30 - 39,Employed,"Less than 25,000PLN",Rarely,Never buy,Below 30 minutes,No,Pastries,Within 1 km,20 PLN - 40 PLN,3,3,3,3,3,3,3,Social Media,Yes
2022/08/16 4:06:38 pm EET,Female,20 - 29,Employed,"25,000PLN - 50,000PLN",Rarely,Drive-thru,Below 30 minutes,Yes,Coffee,1 km - 3 km,20 PLN - 40 PLN,4,3,4,3,3,4,4,Starbucks Website/Apps;Emails,Yes
2022/08/16 4:07:42 pm EET,Male,30 - 39,Employed,"Less than 25,000PLN",Rarely,Drive-thru,30 minutes - 1 hour,Yes,Coffee,More than 3 km,Less than 20 PLN,4,2,3,4,4,4,4,Social Media,Yes
2022/08/16 4:08:39 pm EET,Male,20 - 29,Student,"Less than 25,000PLN",Rarely,Drive-thru,30 minutes - 1 hour,No,Cold drinks,More than 3 km,20 PLN - 40 PLN,3,2,3,3,3,3,3,Through friends and word of mouth,Yes
2022/08/16 4:09:44 pm EET,Male,20 - 29,Student,"Less than 25,000PLN",Rarely,Dine in,30 minutes - 1 hour,No,Coffee,More than 3 km,Less than 20 PLN,3,4,3,3,1,2,3,Through friends and word of mouth,Yes
2022/08/16 4:10:51 pm EET,Male,20 - 29,Self-employed,"50,000PLN - 100,000PLN",Daily,Drive-thru,Below 30 minutes,Yes,Coffee,More than 3 km,20 PLN - 40 PLN,4,2,4,4,3,3,3,Social Media;Emails,Yes
2022/08/16 4:11:55 pm EET,Male,30 - 39,Employed,"25,000PLN - 50,000PLN",Weekly,Dine in,1 hour - 2 hours,No,Pastries;Coffee,More than 3 km,More than 40 PLN,4,5,5,4,4,3,3,Social Media;Starbucks Website/Apps;Through friends and word of mouth,Yes
2022/08/16 4:12:47 pm EET,Male,Below 20,Student,"Less than 25,000PLN",Rarely,Drive-thru,30 minutes - 1 hour,No,Pastries,More than 3 km,Less than 20 PLN,4,4,4,4,4,4,4,Social Media;Emails,No
2022/08/16 4:13:41 pm EET,Male,40 and above,Employed,"50,000PLN - 100,000PLN",Monthly,Drive-thru,30 minutes - 1 hour,No,Cold drinks,More than 3 km,20 PLN - 40 PLN,4,3,5,4,4,4,4,Starbucks Website/Apps,Yes
2022/08/16 4:14:37 pm EET,Male,20 - 29,Student,"Less than 25,000PLN",Rarely,Take away,Below 30 minutes,No,Coffee,More than 3 km,20 PLN - 40 PLN,3,3,3,3,3,3,3,Social Media;Starbucks Website/Apps,Yes
2022/08/16 4:15:17 pm EET,Male,30 - 39,Employed,"50,000PLN - 100,000PLN",Monthly,Drive-thru,Below 30 minutes,Yes,Coffee,Within 1 km,20 PLN - 40 PLN,4,4,4,4,4,4,4,Social Media;Through friends and word of mouth,Yes
2022/08/16 4:15:40 pm EET,Female,Below 20,Student,"Less than 25,000PLN",Never,Never buy,Below 30 minutes,No,Cold drinks;Never buy any,More than 3 km,0 PLN,3,2,2,2,3,3,3,Social Media;Starbucks Website/Apps;Through friends and word of mouth,Yes
2022/08/16 4:17:13 pm EET,Male,20 - 29,Employed,"Less than 25,000PLN",Rarely,Dine in,Below 30 minutes,Yes,Coffee,Within 1 km,Less than 20 PLN,4,3,4,5,5,5,5,Social Media;Starbucks Website/Apps;Through friends and word of mouth;Emails,Yes
2022/08/16 4:17:46 pm EET,Male,30 - 39,Employed,"More than 150,000PLN",Monthly,Dine in,30 minutes - 1 hour,Yes,Cold drinks;Coffee,1 km - 3 km,20 PLN - 40 PLN,4,3,1,4,4,5,4,Social Media;In Store displays;Billboards,Yes
2022/08/16 4:18:27 pm EET,Male,20 - 29,Employed,"25,000PLN - 50,000PLN",Weekly,Take away,Below 30 minutes,Yes,Coffee,1 km - 3 km,20 PLN - 40 PLN,3,4,3,4,3,4,2,Emails,Yes
2022/08/16 4:19:29 pm EET,Male,30 - 39,Employed,"More than 150,000PLN",Rarely,Drive-thru,Below 30 minutes,No,Coffee,1 km - 3 km,Less than 20 PLN,4,2,4,4,4,4,2,Application offer,No
2022/08/16 4:19:54 pm EET,Female,20 - 29,Self-employed,"50,000PLN - 100,000PLN",Rarely,Take away,Below 30 minutes,Yes,Cold drinks,1 km - 3 km,Less than 20 PLN,2,2,5,3,3,4,3,Social Media;Emails,No
2022/08/16 4:20:16 pm EET,Male,20 - 29,Self-employed,"Less than 25,000PLN",Monthly,Take away,Below 30 minutes,No,Coffee,More than 3 km,20 PLN - 40 PLN,5,3,4,4,3,4,3,Social Media,Yes
2022/08/16 4:21:12 pm EET,Male,40 and above,Self-employed,"More than 150,000PLN",Weekly,Drive-thru,Below 30 minutes,Yes,Coffee,1 km - 3 km,More than 40 PLN,4,5,3,3,3,4,5,Social Media;Starbucks Website/Apps;Through friends and word of mouth;In Store displays,Yes
2022/08/16 4:22:00 pm EET,Female,20 - 29,Employed,"25,000PLN - 50,000PLN",Never,Dine in,Below 30 minutes,No,Coffee,Within 1 km,0 PLN,3,3,3,3,3,3,3,Social Media,No
2022/08/16 4:22:03 pm EET,Male,30 - 39,Employed,"50,000PLN - 100,000PLN",Rarely,Take away,Below 30 minutes,Yes,Cold drinks,1 km - 3 km,Less than 20 PLN,5,3,4,3,3,4,5,Social Media,Yes
2022/08/16 4:26:44 pm EET,Male,30 - 39,Employed,"100,000PLN - 150,000PLN",Rarely,Take away,Below 30 minutes,Yes,Coffee,Within 1 km,20 PLN - 40 PLN,5,3,4,3,3,4,5,Social Media,Yes
2022/08/16 4:28:31 pm EET,Female,20 - 29,Employed,"Less than 25,000PLN",Rarely,Dine in,Below 30 minutes,No,Coffee,Within 1 km,20 PLN - 40 PLN,5,2,5,5,2,4,3,Through friends and word of mouth,No
2022/08/16 4:30:04 pm EET,Male,20 - 29,Employed,"25,000PLN - 50,000PLN",Rarely,Dine in,More than 3 hours,No,Coffee,Within 1 km,20 PLN - 40 PLN,5,4,4,5,4,4,3,Social Media;Through friends and word of mouth,Yes
2022/08/16 4:31:59 pm EET,Male,40 and above,Self-employed,"100,000PLN - 150,000PLN",Rarely,Dine in,1 hour - 2 hours,No,Cold drinks;Pastries;Sandwiches;Juices,More than 3 km,20 PLN - 40 PLN,4,3,1,4,4,5,4,Social Media;In Store displays;Billboards,Yes
2022/08/17 3:26:39 pm EET,Female,20 - 29,Employed,"25,000PLN - 50,000PLN",Rarely,Drive-thru,Below 30 minutes,Yes,Coffee,1 km - 3 km,20 PLN - 40 PLN,4,3,4,3,3,4,4,Starbucks Website/Apps;Emails,Yes
2022/08/17 3:27:37 pm EET,Female,Below 20,Student,"Less than 25,000PLN",Never,Never buy,Below 30 minutes,No,Never buy any,More than 3 km,0 PLN,3,2,2,2,3,3,3,Starbucks Website/Apps;Through friends and word of mouth,Yes
2022/08/17 3:28:35 pm EET,Female,20 - 29,Employed,"Less than 25,000PLN",Monthly,Take away,Below 30 minutes,No,Cold drinks,More than 3 km,Less than 20 PLN,5,4,4,4,4,4,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
2022/08/17 3:29:31 pm EET,Female,Below 20,Student,"Less than 25,000PLN",Rarely,Take away,Below 30 minutes,No,Cold drinks,More than 3 km,Less than 20 PLN,3,4,5,5,5,4,4,Social Media,Yes
2022/08/17 3:30:25 pm EET,Female,20 - 29,Employed,"Less than 25,000PLN",Rarely,Take away,Below 30 minutes,No,Coffee,Within 1 km,Less than 20 PLN,4,4,4,4,4,4,4,Social Media;Starbucks Website/Apps;Through friends and word of mouth,Yes
